"영화명","누적매출액","누적관객수","스크린수","상영횟수","개봉일","배급사","등급","장르","감독","배우","제작사","cluster"
"명량",135753219310,17615039,1587,188646,"2014-07-30","(주)씨제이이엔엠","15세이상관람가","사극,액션","김한민","최민식,류승룡,조진웅,김명곤,진구,이정현,권율,노민우,이승준,오타니 료헤이,박보검,박원우,서성광,오명훈,유명환,윤희경,이윤기,정수남,정순태,정의석,김원해,이해영,장준녕,김길동,김강일,강태영,하형원,한상대,김동원,김민석,김민식,김재철,김준형,김현중,박선용,박노식,최덕문,조복래,문영동,이주실,주석태,이성우,고경표,김태훈,한이진,신유람,송대중","(주)빅스톤픽쳐스",5
"목격자",21737061097,2524720,1021,71403,"2018-08-15","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","스릴러","조규장","이성민,김상호,진경,곽시양,이동희,김재철,이재남,이재우,이태호,이혜민,정택호,조아라,황인범,김자영,김수영,김상호,박지후,우상기,황영희,정재광,박성근,이민웅,최정인,이장유,정유민","(주)에이디사공육",1
"몽타주",15002458500,2095592,544,53195,"2013-05-16","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","스릴러","정근섭","엄정화,김상경,송영창,조희봉,정해균,유승목,이정환,조한기,고해성,허정은,홍종성,김윤태,이준혁,오대환,기주봉,백지원,정종열,정희태","(주)미인픽쳐스",1
"미녀는 괴로워",36292848900,6081480,418,87141,"2006-12-14","(주)쇼박스","12세이상관람가","멜로/로맨스,코미디","김용화","김아중,주진모,김현숙,신미영,김원,조아영,신정원,차원호,원동연,이보라,장재권,전고은,임민승,윤지원,박성용,박성현,오재진,김정만,정명희,오경성,김종태,이혜림,이종필,박노식,김용건,박휘순,이원종,이한위,류승수,정민성,김지석","리얼라이즈픽쳐스(주),케이엠컬쳐㈜",3
"미인도",15655329500,2342579,450,69523,"2008-11-13","CJ ENM","청소년관람불가","사극,드라마,멜로/로맨스","전윤수","김민선,김영호,김남길,추자현,한명구,이성훈,강민호,박예슬,박용,김형수,신주희,황선환,권정훈,보리,채송화,이상용,윤석주,이석,라미란,김규리,주영호,전국환,오만석,권병길,신유주,김기태,김승훈,김영웅,박지일","㈜이룸영화사,(주)영화사참",1
"밀정",61270079831,7500457,1444,138162,"2016-09-07","워너브러더스 코리아(주)","15세이상관람가","액션","김지운","송강호,공유,한지민,츠루미 신고,엄태구,신성록,서영주,박민우,이진한,이진한,임서영,임서영,전수빈,정유안,조권수,조윤담,이상희,이수광,이승진,하민,노준표,김정우,김태준,고준,오하늬,원진아,전여빈,최유화,이병헌,허성태,김동영,주석태,금새록,전배수,곽자형,옥자연,홍인,백인권,이상희,최희도,조영규,양도현,이동진","(주)다크서클픽쳐스,워너브러더스 코리아(주),(주)영화사하얼빈",4
"바람과 함께 사라지다",34614661161,4909937,694,78591,"2012-08-08","(주)넥스트엔터테인먼트월드(NEW)","12세이상관람가","코미디,사극","김주호","차태현,오지호,민효린,성동일,신정근,고창석,송종호,이채영,김길동,천보근,김향기,최대호,정종열,임창훈,임혜인,최태환,이아람,이예은,이주현,문영동,김강일,오나라,진용욱,오희준,이언수,최광덕,이상협","(주)두타연,(주)에이디사공육",3
"바르게 살자",13944930000,2135606,372,55993,"2007-10-18","CJ ENM","15세이상관람가","코미디,드라마","라희찬","정재영,이재용,손병호,주진모,김민진,김규철,이새봄,임지은,박성일,박소라,박영,이찬,조덕현,장소연,이철민,이한위,이해영,정세형,엄수정,진용욱,김승훈,이상훈,이영은,손병욱","필름있수다",1
"박수건달",28379548569,3897969,603,60604,"2013-01-09","(주)쇼박스","15세이상관람가","코미디","조진규","박신양,김정태,엄지원,정혜영,김성균,최일화,최지호,김형범,장원종,이충재,장성진,장진,조용우,김에스라,현태환,서형찬,이덕화,정윤선,김홍파,이양희,정민성,김경룡,홍기준,김남순,설창희,박세진","주식회사 제이앤피,박수건달문화산업전문(유),(주)쇼박스",2
"박수칠 때 떠나라",13181626500,2073641,237,32149,"2005-08-11","(주)시네마서비스","15세관람가","드라마,코미디,미스터리","장진","차승원,신하균,이재용,김지수,박정아,박은주,조정진,인정주,정규수,임미연,정영호,윤진호,이태상,이해영,이형곤,정동환,장소연,장영남,이철민,이한위,황정민","(주)어나더썬데이",1
"박열",18096420795,2359707,1176,78504,"2017-06-28","메가박스중앙(주)플러스엠","12세이상관람가","드라마","이준익","이제훈,최희서,김인우,권율,민진웅,이형석,박진성,배정환,서동기,정무진,정승채,조박,윤재국,이경수,이동욱,이병훈,이성규,이승환,이신우,이영상,이재성,이정현,이종민,홍준석,달시 파켓,김준한,최정헌,백수장,이정현,정준원,류성현,박기륭,김성철,정태야,김희상,손준영","(유)박열문화전문회사",1
"박쥐",14835618500,2205621,499,45400,"2009-04-30","CJ ENM","청소년관람불가","공포(호러),드라마","박찬욱","송강호,구용완,김옥빈,신하균,김해숙,송영창,오달수,박인환,라미란,손종학,서동수,황우슬혜,조덕제,최희진,최종률,이화룡","(주)모호필름",1
