"","cluster","감독_배우시너지","스크린점유율","감독점수","장르_관객점수부여","휴일","X12세이상관람가","X15세이상관람가","전체관람가","청소년관람불가","배우점수","누적관객수","배급사점수","평균스크린수","평스_증가율"
"91","3",0,31.4936708860759,8,20,9,TRUE,FALSE,FALSE,FALSE,16,7855474,3,546,132.340425531915
"92","3",4,47.9223300970874,4.33333333333333,10,9,FALSE,TRUE,FALSE,FALSE,16,6975571,3,1061.5,138.80764904387
"93","3",8,58.2912621359223,3.5,20,8,FALSE,TRUE,FALSE,FALSE,15.6363636363636,7150586,3,1474.5,103.660220994475
"94","3",7,56.0776699029126,3.5,20,12,FALSE,TRUE,FALSE,FALSE,15.8181818181818,7500457,1,1332.5,118.263718263718
"95","3",5,47.5415762834418,5,10,11,FALSE,FALSE,FALSE,TRUE,9.2,6880546,1,957.5,219.166666666667
"96","3",8,40.9340659340659,5,20,9,FALSE,TRUE,FALSE,FALSE,22,7166453,3,822.5,119.041278295606
"97","3",10,51.6483516483517,9.25,30,10,FALSE,TRUE,FALSE,FALSE,16,9350323,3,1032,120.512820512821
"98","3",9,45.0241122314774,5.25,10,10,FALSE,TRUE,FALSE,FALSE,16,8658800,3,802,177.989601386482
"99","3",3,27.6595744680851,7.25,10,9,FALSE,TRUE,FALSE,FALSE,16,7362789,3,469,139.285714285714
"100","3",7,53.9136083143878,6,10,9,TRUE,FALSE,FALSE,FALSE,16,9426011,3,1491.5,125.472411186697
"101","3",6,61.4010989010989,9,20,8,FALSE,TRUE,FALSE,FALSE,20.5,6959083,3,1139,143.116328708645
"102","3",0,40.7378640776699,4.25,30,9,TRUE,FALSE,FALSE,FALSE,16,7050475,3,975,116.426193118757
"103","3",3,41.1177644710579,3.5,20,10,FALSE,TRUE,FALSE,FALSE,15.8181818181818,6685845,3,763,117.378917378917
"104","3",7,31.1550151975684,7.75,20,9,FALSE,TRUE,FALSE,FALSE,16.25,7470633,2,569.5,117.36641221374
"105","3",4,42.9126213592233,4.16666666666667,10,9,TRUE,FALSE,FALSE,FALSE,20.5,7120780,3,962.5,134.756097560976
"106","3",10,39.8947829899167,5.4,30,9,TRUE,FALSE,FALSE,FALSE,7.8,8666208,2,848,115.776081424936
"107","3",6,27.8987341772152,6.33333333333333,10,9,TRUE,FALSE,FALSE,FALSE,20.5,6855314,3,507,119.006479481641
"108","3",8,45.1732673267327,5.4,10,10,TRUE,FALSE,FALSE,FALSE,10.7692307692308,7759761,3,1052,108.523290386521
