"영화명","누적매출액","누적관객수","스크린수","상영횟수","개봉일","배급사","등급","장르","감독","배우","제작사","cluster"
"인천상륙작전",55105606303,7050475,1049,97032,"2016-07-27","(주)씨제이이엔엠","12세이상관람가","전쟁,드라마","이재한","김정철,이정재,이범수,리암 니슨,진세연,정준호,박철민,김병옥,김선아,김영애,박성웅,추성훈,황석하,이창세,박정원,박현선,션 리차드,한비,김희진,진용욱,곽순우,홍기준,우도환,성혁,길금성","(주)태원엔터테인먼트","3"
"전우치",44092783000,6065369,612,102356,"2009-12-23","CJ ENM","12세이상관람가","액션,코미디,판타지","최동훈","강동원,임수정,김윤석,유해진,염정아,김시권,주진모,김효진,강동균,정혜란,손선영,송진영,김혜지,신수현,박용범,박민규,조운,박지희,안성진,노남석,한연호,김고은,김규연,고준영,박남희,윤대원,이석원,이성두,정영훈,정우철,박연수,오준석,정지인,이우희,이대로,이철희,송영창,이미도,김서현,최진호,조상건,장준녕,최우리,김상호,이용녀,선우선,공정환,박성훈,박수영,권태원,정인기,김기범,최교식,김기천,조운,김현식","영화사 집","1"
"조선명탐정 : 각시투구꽃의 비밀",35841769500,4786259,634,84189,"2011-01-27","(주)쇼박스","12세이상관람가","코미디,액션","김석윤","김명민,김호연,한지민,오달수,김영훈,백성기,지승현,류현상,김경화,김탁호,김윤섭,최무성,남성진,우현,이재용,예수정,원현준,김태훈,정인기","청년필름(주)","1"
"조선명탐정 : 사라진 놉의 딸",30456879428,3872015,825,80499,"2015-02-11","(주)쇼박스","12세이상관람가","사극,코미디,어드벤처","김석윤","김명민,오달수,이연희,강다현,전건익,정명철,박지선,배영민,정혜은,조관우,조명행,최지명,송병철,김나현,이경용,이귀현,이낙준,한대룡,이선도,이성동,이용우,김태환,정원중,남윤나,류광일,류현상,최무성,김원해,우현,황정민,이정은,박수영,권범택,현우","청년필름(주)","2"
"좋은 놈, 나쁜 놈, 이상한 놈",43754257000,6685845,824,93574,"2008-07-17","CJ ENM","15세이상관람가","서부극(웨스턴),액션,어드벤처","김지운","송강호,이병헌,정우성,오달수,엄지원,김광일,손병호,이청아,김선영,성정훈,송승현,신상우,조화성,박광복,송영창,윤영우,정성우,이한솔,양명헌,박진우,조덕제,최진호,진선규,정세형,윤제문,류승수,홍기준,오연아,류제승,이정민,양도현,오일용","(주)다크서클픽쳐스,(주)바른손이앤에이","3"
"청년경찰",44382020516,5653444,1102,118547,"2017-08-09","롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가","액션","김주환","박서준,강하늘,성동일,박승호,한도진,박하선,정다은,김규백,이하준,이현일,임대현,박정훈,장석진,서은지,서정우,서지원,신정화,조윤주,우상기,이강재,이다영,최광원,최지민,이도현,이상민,이세희,이수진,한재욱,이은비,이재웅,이정수,이주원,서정연,고준,전준영,이호정,배유람,이승희,류경수,정원중,이수인,김강현,최홍일,정동훈,안성봉,양현진,서도빈,지찬,이규성,변우석,박재홍,태윤","(주)무비락,(주)도서관옆스튜디오,베리굿스튜디오(주)","1"
"최종병기 활",55827861500,7470633,615,130054,"2011-08-10","롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가","사극,액션","김한민","박해일,류승룡,김무열,문채원,이한위,김구택,이경영,박기웅,이승준,이재구,박노식,이다윗,전민서,오타니 료헤이,강규영,김홍수,김길동,최선미,조우진,이미소,최태환,박진주,한성민,김남수,강은규,김기덕,이상도,장재욱,임미주,박상희,최유라,이유비,이항주,이동훈,문영동,박명신,강신철,강신하","(주)디씨지플러스,(주)다세포클럽","3"
"추격자",33986959000,5046096,433,106805,"2008-02-14","(주)쇼박스","청소년관람불가","범죄,스릴러,액션","나홍진","김윤석,하정우,서영희,박효주,김유정,최정우,정인기,최지윤,김은성,최홍석,박지안,박진성,노현정,이민복,최문수,유원선,구태진,전진배,유지연,이철오,이인철,박진우,송요셉,조세영,조덕제,하성광,이장유,오연아,손희순,김영선","(주)영화사비단길","1"
"친절한 금자씨",20483051393,3119682,386,41438,"2005-07-29","CJ ENM","18세관람가","스릴러","박찬욱","이영애,최민식,권예영,김시후,남일우,김병옥,오달수,이승신,김부선,라미란,고수희,최정우,송강호,김유정,강남미,이대연,최희진,이병준,이용녀,차순배,박명신","(주)모호필름","2"
"퀵",22960890000,3125069,514,60714,"2011-07-20","(주)씨제이이엔엠","15세이상관람가","코미디,액션","조범구","이새별,고창석,강예원,이민기,김인권,김원영,홍승록,박은영,조용진,김은옥,이건우,안상훈,배승리,권영빈,주승환,주영민,변상윤,김가을,김결,서태원,박다솜,이지호,최민서,윤소연,윤승현,임혜원,박상현,윤지민,최연주,정수인,김병철,이해인,김재화,이희준,오정세,전국환,유승목,윤제문,김소진,조경현,박지연,한사명","(주)제이케이필름,(주)씨제이이엔엠","2"
"타워",37654858000,5181014,638,81147,"2012-12-25","(주)씨제이이엔엠","12세이상관람가","드라마","김지훈","설경구,손예진,김상경,김인권,도지한,안성기,이한위,김성오,송재호,차인표,박철민,조민아,권현상,박정학,임경만,장혜리,조윤경,배진호,안용우,전배수,이창용,박영수,이주실,김수진,권태원,김응수,전국향,정인기","(주)씨제이이엔엠,(주)더타워픽쳐스","1"
"타짜",36181314700,5685521,492,76884,"2006-09-28","CJ ENM","18세관람가","드라마","최동훈","조승우,김혜수,백윤식,유해진,김응수,김상호,김윤석,주진모,이수경,김정난,조상건,서동수,백도빈,조상원,김의성,서종해,차지은,이석원,윤준호,최영준,오호진,김민경,김진묵,김정현,최재섭,허영만,오정세,김광규,장준녕,최종률,장원영,박명신,박수영,권태원,정인기,김자영","(주)싸이더스,(주)영화사참","1"
"타짜-신의 손",32373120927,4015361,890,80584,"2014-09-03","롯데쇼핑㈜롯데엔터테인먼트,(주)싸이더스","청소년관람불가","드라마","강형철","최승현,신세경,곽도원,유해진,김윤석,이하늬,김인권,이경영,고수희,오정세,박효주,백승찬,양성우,우민호,윤지환,이승원,이승훈,이영민,이원호,정동근,조연우,한준우,홍승철,황현서,김원영,김장미,문도선,이준혁,김새벽,배유람,안재홍,이동휘,김원해,최종률,고준,조경현,박수영,이성욱,송재룡,천우희,배진웅,윤경호,정다원,하성광,곽자형,곽수정,김민상,양도현,김종태,김송일","(주)싸이더스","2"
"탐정: 리턴즈",26909514678,3152895,1137,107909,"2018-06-13","(주)씨제이이엔엠","15세이상관람가","코미디,범죄","이언희","권상우,성동일,이광수,이일화,남명렬,손담비,최성원,김동욱,박성일,오희준,이광호,이동민,이동민,서영희,심상민,엄진용,임승묵,박성연,임효우,박영식,정성호,정연주,정인영,박태강,정택호,조혜선,최광락,권혁석,김동욱,김미진,최재옥,홍광석,홍광석,김선간,김수영,김승필,김승필,김용호,김원진,김성규,김연교,백인권,이상철","(주)크리픽쳐스","2"
