"cluster","누적관객수","스크린점유율","배급사점수","장르_관객점수부여","감독_배우시너지","감독점수","배우점수","배우점수2","배우점수3","배우점수4","배우점수5"
2,4452850,51.5545914678236,2,20,9,9,11,15.6363636363636,7.20138537139732,15.6363636363636,7.20138537139732
2,5442915,45.7508250825082,3,10,7,4,10.5555555555556,15.6363636363636,7.20138537139732,15.6363636363636,7.20138537139732
2,4975517,44.8416751787538,3,10,4,4.66666666666667,12.8,15.6363636363636,7.20138537139732,15.6363636363636,7.20138537139732
2,4775441,61.1135466900482,3,20,9,4.66666666666667,12.6666666666667,15.6363636363636,7.20138537139732,15.6363636363636,7.20138537139732
2,4573902,49.074374797012,3,10,6,2.5,9.2,15.6363636363636,7.20138537139732,15.6363636363636,7.20138537139732
2,4598985,27.0543008169149,2,10,4,2.16666666666667,16.25,16.25,7.20138537139732,16.25,7.20138537139732
2,5317959,47.3608098336949,2,10,10,4.5,11.2,16.25,7.20138537139732,16.25,7.20138537139732
2,5584139,37.0421245421245,2,10,4,5,12.6666666666667,16.25,7.20138537139732,16.25,7.20138537139732
2,5599665,37.4368932038835,2,20,9,2.8,9.83333333333333,16.25,7.20138537139732,16.25,7.20138537139732
2,4662829,38.2978723404255,3,10,4,5.25,8.25,16.25,7.20138537139732,16.25,7.20138537139732
2,5063844,52.1620701395982,2,10,2,1.75,11.2,16.25,7.20138537139732,16.25,7.20138537139732
2,6081480,22.2340425531915,3,20,4,7.83333333333333,7,16.25,7.20138537139732,16.25,7.20138537139732
2,4909937,33.3493512734262,2,10,9,3.5,13.5,16.25,7.20138537139732,16.25,7.20138537139732
2,6290502,64.014290354011,3,30,8,1,12.6666666666667,16.25,7.20138537139732,16.25,7.20138537139732
2,4720050,34.2623738587218,3,10,6,4.66666666666667,12.6666666666667,16.25,7.20138537139732,16.25,7.20138537139732
2,4787538,47.9376420915882,3,20,10,2.16666666666667,11.2,16.25,7.20138537139732,16.25,7.20138537139732
2,6247651,49.9174917491749,3,20,9,3.54545454545455,15.8181818181818,16.25,7.24313288270558,16.25,7.24313288270558
2,5604106,35.6684981684982,2,10,8,5,9,16.25,7.24313288270558,16.25,7.24313288270558
2,4682492,30.7234432234432,2,10,4,2.6,12.125,16.25,7.24313288270558,16.25,7.24313288270558
2,6178452,25.0124812780829,3,20,4,3.75,5,16.25,7.24313288270558,16.25,7.24313288270558
2,5441020,52.4344569288389,2,20,5,3.5,9,16.25,7.24313288270558,16.25,7.24313288270558
2,4515833,36.4728495915425,3,10,5,3.66666666666667,9.75,16.25,7.24313288270558,16.25,7.24313288270558
2,6044956,41.7904290429043,2,10,5,9,9.66666666666667,16.25,7.24313288270558,16.25,7.24313288270558
2,5311232,31.8642350557244,3,10,3,2.83333333333333,11.75,16.25,7.24313288270558,16.25,7.24313288270558
2,5294154,45.1140619679946,2,10,8,5,10.8461538461538,16.25,7.24313288270558,16.25,7.24313288270558
2,6436508,21.6019417475728,3,30,5,7,9,16.25,7.24313288270558,16.25,7.24313288270558
2,5416829,28.4073889166251,3,10,7,8.33333333333333,15.8181818181818,16.25,7.24313288270558,16.25,7.24313288270558
2,6065369,30.6613226452906,3,20,5,12.25,10.8461538461538,16.25,7.24313288270558,16.25,7.24313288270558
2,4786259,32.1175278622087,3,10,3,3.5,15.6363636363636,16.25,7.24313288270558,16.25,7.24313288270558
2,5653444,39.8409255242227,2,20,3,3.5,4.66666666666667,16.25,7.24313288270558,16.25,7.24313288270558
2,5046096,21.6067864271457,3,10,7,4.66666666666667,12.6666666666667,16.25,7.24313288270558,16.25,7.24313288270558
2,5181014,30.6583373378184,3,10,9,6.33333333333333,8.66666666666667,16.25,7.24313288270558,16.25,7.24313288270558
2,5685521,26.1702127659574,3,10,8,12.25,11,16.25,7.24313288270558,16.25,7.24313288270558
2,5074314,21.6489361702128,3,10,2,3.66666666666667,9,16.25,7.24313288270558,16.25,7.24313288270558
2,4584800,45.9805825242718,2,10,9,3.66666666666667,17,17,7.24313288270558,16.25,7.24313288270558
3,7232387,46.9631236442516,3,10,6,4,16,17,7.24313288270558,16.25,7.24313288270558
3,9707581,70.368932038835,3,10,10,9,10.7692307692308,17,7.24313288270558,16.25,7.24313288270558
3,6879989,57.6699029126214,1,10,10,4.66666666666667,16,17,7.24313288270558,16.25,7.24313288270558
3,7817654,50.3253796095445,3,20,6,4.16666666666667,10.8461538461538,17,7.24313288270558,16.25,7.24313288270558
3,8223266,20.3592814371257,2,10,7,7.25,16,17,7.24313288270558,16.25,7.24313288270558
3,9135802,56.7765567765568,3,20,7,4.5,16,17,7.24313288270558,16.25,7.24313288270558
3,8035181,28.5571142284569,3,10,8,7.83333333333333,16.75,17,7.24313288270558,16.75,7.24313288270558
3,6592151,73.2827187274042,3,20,6,5,20.5,20.5,7.24313288270558,16.75,7.24313288270558
3,7072507,46.5759075907591,3,10,1,2.6,11.375,20.5,7.24313288270558,16.75,7.24313288270558
3,6654842,41.0379625180202,3,20,0,3.66666666666667,16,20.5,7.24313288270558,16.75,7.24313288270558
3,7855474,31.4936708860759,3,20,0,8,16,20.5,7.24313288270558,16.75,7.24313288270558
3,6975571,47.9223300970874,3,10,4,4.33333333333333,16,20.5,7.24313288270558,16.75,7.24313288270558
3,7150586,58.2912621359223,3,20,8,3.5,15.6363636363636,20.5,7.24313288270558,16.75,7.24313288270558
3,7500457,56.0776699029126,1,20,7,3.5,15.8181818181818,20.5,7.24313288270558,16.75,7.24313288270558
3,6880546,47.5415762834418,1,10,5,5,9.2,20.5,7.24313288270558,16.75,7.24313288270558
3,7166453,40.9340659340659,3,20,8,5,22,22,7.24313288270558,22,7.24313288270558
3,9350323,51.6483516483517,3,30,10,9.25,16,22,7.24313288270558,22,7.24313288270558
3,8658800,45.0241122314774,3,10,9,5.25,16,22,7.24313288270558,22,7.24313288270558
3,7362789,27.6595744680851,3,10,3,7.25,16,22,7.24313288270558,22,7.24313288270558
3,9426011,53.9136083143878,3,10,7,6,16,22,7.24313288270558,22,7.24313288270558
3,6959083,61.4010989010989,3,20,6,9,20.5,22,7.24313288270558,22,7.24313288270558
3,7050475,40.7378640776699,3,30,0,4.25,16,22,7.24313288270558,22,7.24313288270558
3,6685845,41.1177644710579,3,20,3,3.5,15.8181818181818,22,7.24313288270558,22,7.24313288270558
