"영화명","누적매출액","누적관객수","스크린수","상영횟수","개봉일","배급사","등급","장르","감독","배우","제작사"
"베스트셀러",7983184500,1081752,308,41064,2010-04-15,"(주)시너지하우스 (시너지)","15세이상관람가","미스터리,스릴러,드라마","이정호","엄정화,류승룡,이도경,김화영,조상원,남동협,박혁,주명훈,강정식,서도빈,이연,이준호,박사랑,김홍파,최무성,조진웅,이성민,오정세,이용녀,조희봉,서이숙,김종대","(주)에코필름,데이지엔터테인먼트"
"베테랑",105169264250,13414200,1115,199240,2015-08-05,"(주)씨제이이엔엠","15세이상관람가","액션,드라마","류승완","황정민,유아인,유해진,오달수,장윤주,김시후,오대환,정웅인,정만식,송영창,진경,유인영,박소담,이동휘,배성우,천호진,이채은,조덕현,신지수,권지훈,정윤헌,장한승,김선웅,김성종,우영택,김민재,김재현,김태용,김지수,박지윤,박지혜,손성민,장소연,유재명,배제기,류아벨,정재헌,안길강,마동석,김응수,고규필,서현우,강영묵,한성천,김기천,이문석,이상희,김서원","(주)외유내강,(주)필름케이"
"변산",4016562273,490519,763,27504,2018-07-04,"메가박스중앙(주)플러스엠","15세이상관람가","드라마","이준익","박정민,김고은,장항선,고준,신현빈,정규수,김준한,배제기,최정헌,한별,김형주,차순배,신문성,이세랑,이고은,이민섭,이성호,방준석,김정현,이재성,이정현,김지성,이현정,이혜원,김진표,김형주,김희주,박수연,박지선,강현구,고유,정호연,차신혜,김민식,최정현,김세겸,김수정,박수연,던밀스,류성현,임성재,백현진,이승훈","변산문화산업전문(유)"
"변신",15417922925,1804112,975,63211,2019-08-21,"(주)에이스메이커무비웍스","15세이상관람가","공포(호러),스릴러","김홍선","배성우,성동일,장영남,김혜준,조이현,김강훈,정윤하,남승화,고해정,김귀선,손종학,신민경,안소미,김민식,안영주,오대환,손정원,윤서연,김세희,고태영,이샘,장현석,조지현,윤혜영,이규복,지대한,권잎새,권지환,김이경,한성관,이한별,김태린,남예진,윤기창,이장원,윤화랑,이음,전미도,손인용,서인권,백성철,백윤식,화성,박서연","(주)다나크리에이티브"
"변호인",82872254800,11374859,925,152276,2013-12-18,"(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","드라마","양우석","송강호,김영애,오달수,곽도원,임시완,송영창,정원중,조민기,이항나,이성민,차광수,한기중,심희섭,김동현,조완기,차은재,최주희,주명철,조선묵,유하복,김봉환,지건우,최은석,최현,최정현,박상현,신안진,조기왕,조유신,이선희,장리우,정준원,이정은,이진희,민경옥,정성화,박성근,신승용,김찬이,원호섭,윤탁,한승도,조용준,정재민,권오진,이설구,노영하,장우진,이해성,김승태,신욱,황건,권영국,양명헌,정원조,윤준호,이호원,설창희,홍도성,김형석,김호진,양정인,이동현,이정건,김리후,육미옥,김호연,백성식,김선주,김가영,이준기,이형은,김서영,오병남,전광진,조현덕,김경인,이상호,김성민,류수영,박수영,이경인,최태환,김서영,이현정,설창희,양도현","위더스필름(주)"
"보안관",20844488409,2588628,1091,63709,2017-05-03,"롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가","범죄,코미디","김형주","이성민,조진웅,김성균,김종수,조우진,임현성,배정남,염진환,박윤호,박지훈,신지훈,이규섭,이동현,최형욱,이윤희,이정은,손여은,현봉식,손석배,배명진,강덕중,김재영,이운산,박윤호,양지수,김언수","(주)영화사 월광,(주)사나이픽처스"
"보통사람",2956397623,383336,621,19928,2017-03-23,"오퍼스픽쳐스(유)","15세이상관람가","드라마","김봉한","손현주,장혁,김상호,라미란,정만식,조달환,지승현,오연아,강현구,이학렬,이형기,박형수,서주연,정원태,양재영,윤준호,이영호,이유진,이승용,김영,주석태,장광,임용순,박지일,주광현,신정섭","(주)트리니티엔터테인먼트,(주)영화사장춘"
"복면달호",9008143000,1507970,310,41977,2007-02-14,"㈜스튜디오이쩜영","12세이상관람가","코미디,드라마","김상찬,김현수","차태현,임채무,이소연,정석용,이병준,조영호,최현주,박진영,권유진,우지은,문희주,채수미,유정현,유혜선,임세미,박아름,이시연,김기현,조용준,박선우,박영서","(주)인앤인픽쳐스,㈜스튜디오이쩜영"
"복숭아나무",240262112,33902,201,5072,2012-10-31,"(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","멜로/로맨스","구혜선","조승우,류덕환,남상미,이윤범,신혜정,백도겸,최다니엘","구혜선 필름,(유)조이앤컨텐츠그룹"
"봄, 눈",143518000,22870,118,2197,2012-04-26,"(주)넥스트엔터테인먼트월드(NEW)","전체관람가","드라마","김태균","윤석화,임지규,이경영,김하진,심이영,조정원,김두루,김란흔,허정임,이상백,김혜성,유재영,유형균,윤재묵,김영옥,정은채,이언수","판씨네마(주)"
