"영화명","누적관객수","매출액점유율","누적매출액","스크린수","매출액","관객수","상영횟수","개봉일","제작사","배급사","등급","장르","감독","배우"
"친구엄마 : 섹스 하던 날",1,0,6000,1,6000,1,1,"2018-01-18","(주)영화사가을","(주)영화사가을","청소년관람불가","멜로/로맨스","이상민","미즈미 사키"
"두처제2-무삭제",10,0,50000,1,50000,10,1,"2018-01-19","스마일컨텐츠","스마일컨텐츠","청소년관람불가","멜로/로맨스","박주영",""
"젊은 아내: 남편 교환의 날 (무삭제)",1,0,5000,1,5000,1,1,"2018-01-22","(주)소나무픽쳐스","(주)소나무픽쳐스","청소년관람불가","멜로/로맨스","이진",""
"착한 형수 2 무삭제",1,0,6000,1,6000,1,1,"2018-01-23","(주)영화사 사계절","(주)영화사 사계절","청소년관람불가","멜로/로맨스","곽영근","이채담"
"1급기밀",218795,0.001,1728645300,512,1728645300,218795,11357,"2018-01-24","(주)미인픽쳐스","(주)리틀빅픽쳐스","12세이상관람가","드라마","홍기선","김상경"
"딸의 친구 2 - 무삭제판",1,0,3000,1,3000,1,1,"2018-01-24","(주)컨텐츠 빌리지","(주)컨텐츠 빌리지","청소년관람불가","멜로/로맨스","계장혁",""
"비밥바룰라",47918,0,324501200,347,324501200,47918,4060,"2018-01-24","영화사김치(주)","(주)키다리이엔티","12세이상관람가","코미디","이성재","박인환"
"어린 형수 3 - 무삭제판",1,0,2000,1,2000,1,1,"2018-01-24","핵존슨","(주)컨텐츠 빌리지","청소년관람불가","멜로/로맨스","최우성",""
"전망 좋은 섹스-감독판",146,0,8e+05,21,8e+05,146,21,"2018-01-24","(주)케이알씨지","(주)케이알씨지","청소년관람불가","멜로/로맨스","이민",""
"부부교환섹스 2 (무삭제)",1,0,5000,1,5000,1,1,"2018-01-25","(주)소나무픽쳐스","(주)소나무픽쳐스","청소년관람불가","멜로/로맨스","강정훈",""
"정사 : 착한 며느리들",129,0,768000,20,768000,129,20,"2018-01-25","(주)영화사가을","(주)영화사가을","청소년관람불가","멜로/로맨스","김부곤",""
"착한 엄마 (무삭제)",1,0,5000,1,5000,1,1,"2018-01-25","(주)소나무픽쳐스","(주)소나무픽쳐스","청소년관람불가","멜로/로맨스","강정훈",""
"엄마 애인",182,0,1012000,20,1012000,182,20,"2018-01-29","모히또필름","(주)에이블엔터테인먼트","청소년관람불가","멜로/로맨스","정진호","백슬비"
"내 이웃의 아내 3",1,0,5000,1,5000,1,1,"2018-01-31","(주)소나무픽쳐스","(주)소나무픽쳐스","청소년관람불가","멜로/로맨스","강정훈",""
"부부교환의 날 2017: 친구의 아내를 탐하다 -무삭제판",1,0,5000,1,5000,1,1,"2018-01-31","(주)소나무픽쳐스","(주)소나무픽쳐스","청소년관람불가","멜로/로맨스","강정훈",""
"새엄마 2: 그녀의 남자가 되다 (무삭제)",1,0,5000,1,5000,1,1,"2018-01-31","(주)소나무픽쳐스","(주)소나무픽쳐스","청소년관람불가","멜로/로맨스","강정훈",""
"염력",990104,0.004,7484644112,1099,7484644112,990104,45623,"2018-01-31","(주)영화사레드피터","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","드라마","연상호","이우룡"
"젊은 형수: 형의 여자를 탐하다",1,0,5000,1,5000,1,1,"2018-01-31","(주)소나무픽쳐스","(주)소나무픽쳐스","청소년관람불가","멜로/로맨스","강정훈",""
"처녀 사냥",183,0,1019000,19,1019000,183,20,"2018-01-31","너바나 필름","(주)컨텐츠 빌리지","청소년관람불가","멜로/로맨스","김태수","김정민"
"친구엄마: 그녀의 병간호 (무삭제)",1,0,5000,1,5000,1,1,"2018-01-31","(주)소나무픽쳐스","(주)소나무픽쳐스","청소년관람불가","멜로/로맨스","강정훈",""
"공즉시색 2",135,0,807000,20,807000,135,20,"2018-02-01","(주)영화사가을","(주)영화사가을","청소년관람불가","멜로/로맨스","이리단","이채담"
"내 여자가 된 형수",1,0,2000,1,2000,1,1,"2018-02-01","(주)씨맥스커뮤니케이션즈","(주)씨맥스커뮤니케이션즈","청소년관람불가","기타","최석원",""
"젊은 장모",123,0,721000,19,721000,123,20,"2018-02-02","스마일컨텐츠","스마일컨텐츠","청소년관람불가","멜로/로맨스","김경훈",""
"교환섹스 : 동생의 여자",1,0,6000,1,6000,1,1,"2018-02-06","(주)영화사가을","(주)영화사가을","청소년관람불가","멜로/로맨스","이상민",""
"밀애 : 사장님의 젊은 아내",1,0,6000,1,6000,1,1,"2018-02-06","(주)영화사가을","(주)영화사가을","청소년관람불가","멜로/로맨스","이상민",""
"정사 : 질투의 덫 - 감독판",147,0,808000,22,808000,147,22,"2018-02-07","(주)케이알씨지","(주)케이알씨지","청소년관람불가","멜로/로맨스","이민",""
"조선명탐정: 흡혈괴마의 비밀",2444136,0.011,19822789764,1249,19822789764,2444136,74953,"2018-02-08","청년필름(주)","(주)쇼박스","12세이상관람가","사극","김석윤","김명민"
"친구누나2",130,0,773000,20,773000,130,20,"2018-02-08","(주)영화사가을","(주)영화사가을","청소년관람불가","멜로/로맨스","이리단","민도윤"
"터닝메카드W: 반다인의 비밀 특별판",21947,0,164797700,168,164797700,21947,1728,"2018-02-08","㈜희원엔터테인먼트","(주)제이앤씨미디어그룹","전체관람가","애니메이션","홍헌표","소연"
"풍뎅이뎅이",361,0,2527000,4,2527000,361,48,"2018-02-08","(주)디씨지플러스","(주)콘텐츠판다","전체관람가","애니메이션","이재한",""
"부부 교환의 날 2017 (무삭제)",1,0,5000,1,5000,1,1,"2018-02-13","(주)소나무픽쳐스","(주)소나무픽쳐스","청소년관람불가","멜로/로맨스","이진",""
"골든슬럼버",1387508,0.006,11412768798,833,11412768798,1387508,42991,"2018-02-14","영화사 집","(주)씨제이이엔엠","15세이상관람가","범죄","노동석","강동원"
"내 아내의 친구-무삭제판",1,0,2000,1,2000,1,1,"2018-02-14","(주)케이알씨지","(주)케이알씨지","청소년관람불가","멜로/로맨스","엠씨짱",""
"불륜 정사의 맛-감독판",152,0,793000,20,793000,152,20,"2018-02-14","(주)케이알씨지","(주)케이알씨지","청소년관람불가","멜로/로맨스","이민",""
"흥부: 글로 세상을 바꾼 자",416303,0.002,3381050200,627,3381050200,416303,18671,"2018-02-14","(주)영화사 궁","롯데쇼핑㈜롯데엔터테인먼트","12세이상관람가","사극","조근현","정우"
"누나친구 : 이혼하고 온 날",1,0,6000,1,6000,1,1,"2018-02-20","(주)영화사가을","(주)영화사가을","청소년관람불가","멜로/로맨스","이상민","미즈미 사키"
"동창회의 목적 3",431,0,2290000,20,2290000,431,22,"2018-02-20","(주)소나무픽쳐스","(주)소나무픽쳐스","청소년관람불가","멜로/로맨스","이도시","김동규"
"친구엄마 : 내 여자가 되던 날",1,0,6000,1,6000,1,1,"2018-02-20","(주)영화사가을","(주)영화사가을","청소년관람불가","멜로/로맨스","이상민",""
"거짓말 애인-감독판",161,0,785000,22,785000,161,22,"2018-02-21","(주)케이알씨지","(주)케이알씨지","청소년관람불가","멜로/로맨스","이민",""
"라라",1860,0,14798800,28,14798800,1860,202,"2018-02-22","(주)도너츠컬처","(주)영화사 그램","15세이상관람가","멜로/로맨스","한상희","정채연"
"비뇨기과 여의사들",129,0,770000,20,770000,129,20,"2018-02-22","(주)영화사가을","(주)영화사가을","청소년관람불가","멜로/로맨스","조태호","고재경"
"내 학생의 엄마 2 무삭제",1,0,6000,1,6000,1,1,"2018-02-23","(주)영화사가을","(주)영화사가을","청소년관람불가","멜로/로맨스","곽영근",""
"연상녀들 : 내가 가르쳐 줄게 무삭제",1,0,6000,1,6000,1,1,"2018-02-23","(주)영화사가을","(주)영화사가을","청소년관람불가","멜로/로맨스","이리단",""
"밀애 : 친구엄마",129,0,770000,20,770000,129,20,"2018-02-27","(주)영화사가을","(주)영화사가을","청소년관람불가","멜로/로맨스","김부곤","이재석"
"여자친구",123,0,720000,20,720000,123,20,"2018-02-27","(주)영화사히트","(주)영화사히트","청소년관람불가","멜로/로맨스","김대성","한나영"
"게이트",101381,0,821271100,208,821271100,101381,5474,"2018-02-28","삼삼공구 브라더스","(주)제이앤씨미디어그룹","15세이상관람가","범죄","신재호","정려원"
"궁합",1340117,0.006,10478875438,966,10478875438,1340117,52427,"2018-02-28","(주)주피터필름","(주)씨제이이엔엠","12세이상관람가","코미디","홍창표","송영재"
"리틀 포레스트",1506911,0.006,11934249185,884,11934249185,1506911,68423,"2018-02-28","(주)영화사수박","메가박스중앙(주)플러스엠","전체관람가","드라마","임순례","김태리"
"불륜 동창회",130,0,772000,20,772000,130,20,"2018-03-02","(주)영화사가을","(주)영화사가을","청소년관람불가","멜로/로맨스","조태호","김지연"
"이모의 유혹",123,0,718000,18,718000,123,20,"2018-03-02","스마일컨텐츠","스마일컨텐츠","청소년관람불가","멜로/로맨스","김경택",""
"내 엄마의 친구: 완숙한 육체를 탐하다",1,0,5000,1,5000,1,1,"2018-03-06","(주)소나무픽쳐스","(주)소나무픽쳐스","청소년관람불가","멜로/로맨스","강정훈",""
"내 친구의 아내 3 (무삭제)",1,0,5000,1,5000,1,1,"2018-03-06","(주)소나무픽쳐스","(주)소나무픽쳐스","청소년관람불가","멜로/로맨스","강정훈",""
"수상한 진료실: 엄마친구의 특별한 치료",1,0,5000,1,5000,1,1,"2018-03-06","(주)소나무픽쳐스","(주)소나무픽쳐스","청소년관람불가","멜로/로맨스","강정훈",""
"사라진 밤",1315726,0.006,10697981316,925,10697981316,1315726,60087,"2018-03-07","(주)싸이더스","(주)키다리이엔티","15세이상관람가","스릴러","이창희","김상경"
"어린 누나",183,0,1019000,20,1019000,183,20,"2018-03-07","너바나 필름","(주)컨텐츠 빌리지","청소년관람불가","멜로/로맨스","김태수","이지현"
"착한 처형 : 아내를 대신하다 무삭제판",1,0,6000,1,6000,1,1,"2018-03-07","(주)영화사가을","(주)영화사가을","청소년관람불가","멜로/로맨스","최강호",""
"사촌 누나",129,0,765000,20,765000,129,20,"2018-03-08","(주)영화사가을","(주)영화사가을","청소년관람불가","멜로/로맨스","조태호",""
"작은 엄마 2: 삼촌의 여자들 (무삭제)",1,0,5000,1,5000,1,1,"2018-03-09","(주)소나무픽쳐스","(주)소나무픽쳐스","청소년관람불가","멜로/로맨스","강정훈",""
"젊은 형수님: 형의 여자를 탐하다 -무삭제판",1,0,5000,1,5000,1,1,"2018-03-09","(주)소나무픽쳐스","(주)소나무픽쳐스","청소년관람불가","멜로/로맨스","강정훈",""
"젊은장모-무삭제",1,0,5000,1,5000,1,1,"2018-03-09","스마일컨텐츠","스마일컨텐츠","청소년관람불가","멜로/로맨스","김경훈",""
"친구엄마: 이혼한 그녀의 남자가 되던 날 (무삭제)",1,0,5000,1,5000,1,1,"2018-03-09","(주)소나무픽쳐스","(주)소나무픽쳐스","청소년관람불가","멜로/로맨스","강정훈",""
"성판17: 남자들의 17가지 성적 판타지 무삭제판",1,0,1000,1,1000,1,1,"2018-03-12","주식회사 레드아이스","주식회사 레드아이스","청소년관람불가","기타","송은주",""
"연변 아가씨의 맛섹사-무삭제판",1,0,1000,1,1000,1,1,"2018-03-14","(주)케이알씨지","(주)케이알씨지","청소년관람불가","멜로/로맨스","이민",""
"지금 만나러 갑니다",2602273,0.011,20800916128,1191,20800916128,2602273,97482,"2018-03-14","(주)무비락","롯데쇼핑㈜롯데엔터테인먼트","12세이상관람가","멜로/로맨스","이장훈","소지섭"
"치즈인더트랩",229005,0.001,1890873700,364,1890873700,229005,14710,"2018-03-14","(주)마운틴무브먼트스토리","(주)리틀빅픽쳐스","15세이상관람가","멜로/로맨스","김제영","박해진"
"내 친구 엄마",129,0,767000,20,767000,129,20,"2018-03-15","(주)영화사가을","(주)영화사가을","청소년관람불가","멜로/로맨스","이리단",""
"착한 엄마 무삭제",1,0,6000,1,6000,1,1,"2018-03-16","(주)영화사 사계절","(주)영화사 사계절","청소년관람불가","멜로/로맨스","이리단",""
"가래떡의 맛: 감독판",132,0,630000,20,630000,132,20,"2018-03-20","(주)케이알씨지","(주)케이알씨지","청소년관람불가","멜로/로맨스","이전",""
"여자들 : 섹스의 만족도 무삭제",1,0,6000,1,6000,1,1,"2018-03-20","(주)영화사가을","(주)영화사가을","청소년관람불가","멜로/로맨스","김부곤",""
"외출 2 무삭제",1,0,6000,1,6000,1,1,"2018-03-20","(주)영화사가을","(주)영화사가을","청소년관람불가","멜로/로맨스","곽영근",""
"일본 엄마 2 무삭제",1,0,6000,1,6000,1,1,"2018-03-20","(주)영화사 사계절","(주)영화사 사계절","청소년관람불가","멜로/로맨스","김무원",""
"작은 엄마 무삭제",1,0,6000,1,6000,1,1,"2018-03-20","(주)영화사 사계절","(주)영화사 사계절","청소년관람불가","멜로/로맨스","이리단",""
